n,delta,bias_sq_sum,var_sum,risk,J1
7,0.0,0.16012659670584123,1.080796981306796,1.2409235780126373,1.113967494145425
7,0.02,0.07580427539734994,0.6085940492822055,0.6843983246795554,0.8272837026555977
7,0.04,0.13523009339371211,0.4474352882621223,0.5826653816558344,0.7633252135596167
7,0.06,0.19371769450375537,0.36748854205154363,0.561206236555299,0.7491369945178913
7,0.08,0.2427693579659412,0.32657667457579953,0.5693460325417407,0.7545502187010091
7,0.1,0.2842312521709073,0.29840886942150396,0.5826401215924112,0.7633086673112072
7,0.12,0.3197346438317299,0.2802839748756999,0.6000186187074298,0.7746086874722163
7,0.14,0.35063345753033526,0.26551462515755475,0.61614808268789,0.7849510065525682
7,0.16,0.3777976996640908,0.2535604708468059,0.6313581705108967,0.7945804997046534
7,0.18,0.40155685336085706,0.24692762722802733,0.6484844805888844,0.80528534109897
7,0.2,0.42298354176868547,0.2410948475306128,0.6640783892992982,0.8149100498210206
7,0.22,0.4421413605863889,0.23604324839209054,0.6781846089784794,0.8235196469899667
7,0.24,0.4594984411094759,0.2318848577773322,0.6913832988868082,0.8314946174731429
7,0.26,0.47523840481890645,0.2289582502077787,0.7041966550266852,0.8391642598601808
7,0.28,0.48985300827640976,0.22601733313516056,0.7158703414115704,0.8460912134111608
7,0.3,0.5031848321225576,0.22428681834693998,0.7274716504694976,0.8529194865105953
7,0.32,0.5155281716416436,0.22207719260109884,0.7376053642427423,0.8588395451088301
7,0.34,0.5268788390683679,0.22058348880789133,0.7474623278762593,0.8645590366633498
7,0.36,0.5375821061713467,0.21942312548382886,0.7570052316551756,0.870060475860831
7,0.38,0.5473337889663735,0.21833349740033592,0.7656672863667093,0.8750241633044823
7,0.4,0.5565478640617224,0.21786838401865144,0.7744162480803738,0.8800092318154247
7,0.42,0.5651942720666937,0.21686405697643973,0.7820583290431334,0.8843406182253156
7,0.44,0.5734614834337548,0.21627226844655426,0.7897337518803091,0.8886696528408682
7,0.46,0.5812359762161334,0.21590548968277362,0.797141465898907,0.8928277918495297
7,0.48,0.5883948267358422,0.21568591426710518,0.8040807410029472,0.8967054929032984
7,0.5,0.5950861594182422,0.21531152515014398,0.8103976845683862,0.9002209087598367
10,0.0,0.1367229911173537,0.8348722057902813,0.9715951969076351,0.9856952860329784
10,0.02,0.047675586497350764,0.4921221537120396,0.5397977402093904,0.7347092895896924
10,0.04,0.09084581762603923,0.3619113520369248,0.4527571696629641,0.6728723279069843
10,0.06,0.13664944988210653,0.29206721765309535,0.4287166675352019,0.6547645894023301
10,0.08,0.1771506973430251,0.24878524902758717,0.42593594637061233,0.6526376838419709
10,0.1,0.21229577641645636,0.21953327357154961,0.4318290499880059,0.6571370100580288
10,0.12,0.24317680349218307,0.19763485791604654,0.4408116614082297,0.6639364889868832
10,0.14,0.2703586087286997,0.18184144020451581,0.4522000489332155,0.6724582135220117
10,0.16,0.2944921030006519,0.1694455157064842,0.46393761870713607,0.6811296636523299
10,0.18,0.31622691239819695,0.15938190743285494,0.4756088198310519,0.6896439804935963
10,0.2,0.3359026698916967,0.15150157184268886,0.48740424173438557,0.6981434249023517
10,0.22,0.3537986515158237,0.14512844918058207,0.4989271006964057,0.7063477193963364
10,0.24,0.3702189451950748,0.13987482981100036,0.5100937750060751,0.7142084954731882
10,0.26,0.38530589845137975,0.1356876661445604,0.5209935645959402,0.7217988394254594
10,0.28,0.3992723611468788,0.1322251463608874,0.5314975075077663,0.7290387558338488
10,0.3,0.41220527407187657,0.12923568833339222,0.5414409624052687,0.7358267203664656
10,0.32,0.42420170079235475,0.12649094224462715,0.5506926430369818,0.74208668161946
10,0.34,0.4352889547233699,0.12461848839759704,0.5599074431209671,0.7482696326331619
10,0.36,0.4456469492277052,0.1226710872933863,0.5683180365210915,0.7538687130536003
10,0.38,0.4552778716224376,0.12106618192472092,0.5763440535471586,0.759173269779145
10,0.4,0.46431976891532145,0.11960385162856299,0.5839236205438845,0.7641489518044793
10,0.42,0.4727881663397756,0.11865547264916321,0.5914436389889388,0.7690537295852213
10,0.44,0.4807175803482033,0.11786203106374352,0.5985796114119467,0.7736792690850303
10,0.46,0.48818543932847575,0.11720379882185535,0.605389238150331,0.7780676308331629
10,0.48,0.4951787536168714,0.11662540220158409,0.6118041558184555,0.782179107250031
10,0.5,0.5017741232718278,0.1161888588304523,0.6179629821022801,0.7861062155346948
15,0.0,0.11723887282019277,0.6425245016349027,0.7597633744550956,0.8716440640852753
15,0.02,0.030432946765531967,0.390145679317743,0.420578626083275,0.6485203359057254
15,0.04,0.05661647681076172,0.28382276209392565,0.3404392389046874,0.5834717121717963
15,0.06,0.09079426122899734,0.2268502896562546,0.3176445508852519,0.5635996370520938
15,0.08,0.12248685489959979,0.19218221168314434,0.31466906658274413,0.5609537116222194
15,0.1,0.15089399322141633,0.16842911850755252,0.3193231117289689,0.5650868178686961
15,0.12,0.17616274455285658,0.15129609457592025,0.3274588391287768,0.5722401935627878
15,0.14,0.19880011499033984,0.13819485010826035,0.3369949650986002,0.5805126743651685
15,0.16,0.2192183172587007,0.12780569462328403,0.3470240118819847,0.5890874399288994
15,0.18,0.23777554403045661,0.11942067065291033,0.357196214683367,0.5976589451211844
15,0.2,0.2547705937922993,0.1125949196794767,0.36736551347177604,0.6061068498802633
15,0.22,0.2703839550128515,0.10717147697993974,0.3775554319927913,0.6144553946323453
15,0.24,0.2848315887554186,0.10236030587596741,0.38719189463138604,0.622247454499724
15,0.26,0.29823589189692884,0.09839346503890276,0.39662935693583157,0.6297851672878868
15,0.28,0.3106667587273467,0.09503965053861596,0.4057064092659627,0.636950868800697
15,0.3,0.32225434417001075,0.09215147385157797,0.4144058180215887,0.6437435964897738
15,0.32,0.3330886053198645,0.08968750606016072,0.4227761113800253,0.6502123586798587
