n,beta,eta,gamma,t1,t2,t3,t4,t5
5,0.5,100.0,0.0,0.6608790263803884,16.113022230586573,126.14459267710885,316.26317655118595,383.32297531250276
5,0.5,100.0,0.0,13.258056035901115,21.934334511667124,101.3669143984041,147.50941920866353,274.1051794590743
5,0.5,100.0,0.0,2.041285564876312,6.76343085827965,40.26519812332962,100.73728343574733,413.5858437263396
5,0.5,100.0,0.0,13.935935157267703,30.299082009290558,67.91429169382383,153.26992939700116,311.70307636503145
5,0.5,100.0,0.0,2.7889230621515204,18.708090980940923,29.133171459468088,42.261183063015736,61.60928942229522
5,0.5,100.0,0.0,44.91751792118854,65.69139821823393,256.0001273158691,358.2216170417692,627.8556107533541
5,0.5,100.0,0.0,17.18432329464561,23.08029055312159,331.21942141904924,461.93704121536285,709.763912178788
5,0.5,100.0,0.0,90.77225296969344,90.9677496862088,123.78194596638632,328.1277092065079,1517.4609196935949
5,0.5,100.0,0.0,32.65340540183027,39.83798105516484,59.91847057158496,110.62546248642897,341.0803481902823
5,0.5,100.0,0.0,0.8328767236710184,26.701086609954334,62.639296322473605,251.21550462652303,575.3930236425242
5,0.5,100.0,0.0,0.0004047590267099616,1.0085656533563359,13.820188448431706,17.719421472274316,670.9739698750813
5,0.5,100.0,0.0,0.6797627540594511,6.016735921123042,15.611582196751034,19.716631007543285,448.42187223647113
5,0.5,100.0,0.0,5.109247911630512,30.37179576311798,107.77717940218574,296.444051133475,1572.2771718614058
5,0.5,100.0,0.0,1.7169935706805437,2.68727622374054,3.3407508754418704,213.525067564172,894.8972104072052
5,0.5,100.0,0.0,0.0004049066179518513,19.919333390395437,26.39945301347807,118.53931021780456,159.34479754995655
5,0.5,100.0,0.0,1.054679779465263,1.5799168517006301,48.31500808892789,72.89214118094279,219.47826055747242
5,0.5,100.0,0.0,4.359954530005189,7.688986886293014,9.123199316718708,162.73455104082882,593.5235200400924
5,0.5,100.0,0.0,3.237323145807792,3.9486836654366293,70.20169266097415,207.0704599224333,331.4338993644311
5,0.5,100.0,0.0,1.581035466793672,2.5983276893712812,4.343526012475701,30.40771727483768,74.94537011387354
5,0.5,100.0,0.0,4.000544898494478,8.622587214383799,40.372297972425535,162.79844614122047,218.22369116957682
5,0.5,100.0,0.0,0.011289428215919243,0.5271622375329423,40.65520201802427,53.94256681851852,62.863795123245644
5,0.5,100.0,0.0,4.734600559226551,5.745780287440776,23.438345859879004,126.43076385247329,133.680861719934
5,0.5,100.0,0.0,0.34174705661826915,14.248577437147183,29.468223750753552,103.47917048679669,667.9420020349903
5,0.5,100.0,0.0,9.03213780948939,14.460520584610439,177.67832538062106,459.9061833059185,3900.59172843229
