sim_id,est_beta,est_eta,est_gamma,r_squared,gradient_type,grad_min,grad_max,sigma_min_min,sigma_min_max,sample_data
500,5.736897,1753.436994,0.000000,0.782207,below_offset,-0.736561,-0.006495,69.184299,154.753186,"[1294.3591893594391, 1320.3495299256297, 1385.5551707382856, 1532.5482904128262, 1634.5383758002245, 2055.780184931579, 2196.802871370147]"
500,4.839855,2077.293670,0.000000,0.273264,below_offset,-1.100791,-0.031210,152.717842,416.292686,"[1508.8009266916533, 1543.1458388834799, 1688.2693244123298, 1710.4417206383844, 1724.2802001035852, 1826.0801050415964, 3382.525773241562]"
500,0.696395,489.901878,1452.915490,0.984171,below_offset,-0.853556,0.145381,87.400702,256.353741,"[1467.5914042113095, 1533.68428234478, 1636.8543900609166, 1661.549042679065, 2058.2736198455277, 2295.610106622004, 3036.474817786325]"
500,6.618156,1785.818157,0.000000,0.734754,below_offset,-1.164706,-0.005312,51.047400,150.393040,"[1378.8449590361338, 1409.3603596261714, 1465.005458267655, 1537.8635707604326, 1671.186987070978, 2066.1394792560423, 2191.8639439898607]"
500,4.280383,2035.176696,0.000000,0.487751,below_offset,-1.912586,-0.017374,172.412526,366.563040,"[1407.5764658019875, 1414.2487298605768, 1453.752204826053, 1558.1917282680802, 1637.606794535343, 2532.5159935793927, 3057.4241182349892]"
500,13.144142,1960.896227,0.000000,0.865885,below_offset,-0.137956,-0.000796,34.694338,58.800275,"[1705.9440239120827, 1742.0671740958549, 1774.100058214738, 1846.9059103615382, 1966.6998569254101, 2082.0058578987437, 2127.286324643568]"
500,6.151471,1863.054764,0.000000,0.740922,below_offset,-0.571988,-0.006488,69.741793,167.212280,"[1400.0944795690266, 1453.2490597571696, 1509.0749222414158, 1595.3974614515216, 1721.063686670439, 2216.146396017038, 2283.5983183977887]"
500,0.768547,285.646861,1392.692875,0.960225,below_offset,-0.193961,0.189002,69.500355,119.288476,"[1406.760479970178, 1421.4009645566894, 1505.206381268612, 1646.087508513825, 1650.7011743508733, 1910.3527168445357, 2185.5813304960902]"
500,6.021637,2337.541867,0.000000,0.613621,below_offset,-1.312667,-0.007383,116.077809,260.867597,"[1785.2817280232205, 1805.2616045262016, 1848.1783801347065, 1988.6272098669529, 2064.4555856981215, 2735.851647310421, 3042.499583370213]"
500,6.165196,1705.614201,0.000000,0.657156,below_offset,-0.898424,-0.004520,96.893578,171.542779,"[1302.431022111616, 1333.3525162900735, 1350.2977719203989, 1370.3121506864168, 1694.9534937484245, 1931.454846524837, 2173.5612047058694]"
500,7.009086,1707.057996,0.000000,0.726515,below_offset,-0.640847,-0.005697,67.014897,138.473716,"[1340.6394024627382, 1372.6557746477638, 1391.707846043056, 1475.7663032034245, 1737.4824207615452, 1760.6000560690918, 2157.1689608631273]"
500,14.579553,1438.500349,117.495963,0.737055,below_offset,-0.108150,-0.000264,46.628047,54.890804,"[1400.4569306701096, 1406.6557109714545, 1407.810691430131, 1490.0143825849755, 1526.4655743560334, 1661.8347044148227, 1677.6887626204352]"
500,7.353155,1939.204236,0.000000,0.628566,below_offset,-1.044039,-0.008910,41.621827,178.403245,"[1549.5956010453522, 1597.0081246273276, 1637.3753553801726, 1671.3580522665247, 1830.285000197438, 1982.1974078087783, 2525.2787787387942]"
500,6.579468,1823.996385,0.000000,0.764903,below_offset,-0.622985,-0.003426,87.006062,144.682325,"[1410.7210058211438, 1422.397744047893, 1467.5936611177103, 1576.0756808772132, 1800.436664126097, 2044.4065126964442, 2247.064284921569]"
500,7.509828,1978.542830,0.000000,0.809266,below_offset,-0.130943,-0.001807,97.070426,123.964838,"[1560.0626339571577, 1593.3750299049084, 1622.8583612738603, 1846.991150099539, 1906.8852834360723, 2248.668301301016, 2286.5215281103165]"
500,14.672342,1642.281421,194.359386,0.811785,below_offset,-0.091018,-0.000699,39.935846,53.812706,"[1654.7191569359522, 1670.2532967165487, 1675.0866059709742, 1770.0427032688317, 1836.1187429343445, 1880.860405115273, 2004.7993346914136]"
