delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,1.573211,0.501132,0.859091,True
0.00,1,4.090741,1.473056,0.223607,True
0.00,2,0.750153,0.380382,0.814266,True
0.00,3,4.011115,1.552987,0.000000,True
0.00,4,2.667093,1.297639,0.224607,True
0.00,5,2.059262,1.044034,0.433958,True
0.00,6,2.616964,0.876470,0.405798,True
0.00,7,2.300295,1.008637,0.345953,True
0.00,8,5.129286,1.558256,0.000000,True
0.00,9,4.122469,1.527637,0.000000,True
0.00,10,2.713583,0.941311,0.525315,True
0.00,11,1.069550,0.411347,0.811846,True
0.00,12,3.981124,1.354468,0.000000,True
0.00,13,1.125405,0.378438,0.925957,True
0.00,14,3.497993,1.576476,0.000000,True
0.00,15,1.402840,0.528283,0.970581,True
0.00,16,1.872008,0.494313,0.982670,True
0.00,17,3.750884,1.315150,0.052803,True
0.00,18,1.128920,0.427719,0.895427,True
0.00,19,1.850907,1.106099,0.284293,True
0.00,20,2.994467,1.405773,0.000000,True
0.00,21,0.996889,0.521760,0.658544,True
0.00,22,2.908167,1.479482,0.223621,True
0.00,23,2.662181,1.152916,0.328835,True
0.00,24,1.732369,0.669398,0.784192,True
0.00,25,4.057987,1.362987,0.000000,True
0.00,26,4.267218,1.678659,0.000000,True
0.00,27,4.660112,1.556028,0.000000,True
0.00,28,2.072133,0.929135,0.510811,True
0.00,29,3.722179,1.459230,0.000000,True
0.00,30,4.451094,1.509113,0.042964,True
0.00,31,2.119761,0.631172,0.622344,True
0.00,32,4.555964,1.498530,0.000000,True
0.00,33,7.081877,1.317675,0.000000,True
0.00,34,2.951204,0.683605,0.892687,True
0.00,35,3.738054,1.542764,0.000000,True
0.00,36,2.134286,1.110564,0.467780,True
0.00,37,4.097020,1.450086,0.000000,True
0.00,38,4.682582,1.658119,0.000000,True
0.00,39,2.647901,1.562378,0.031544,True
0.00,40,1.396085,0.496174,0.942987,True
0.00,41,4.551935,1.617458,0.000000,True
0.00,42,2.156731,0.956930,0.691605,True
0.00,43,1.748175,0.713095,0.642728,True
0.00,44,0.867940,0.343934,1.005637,True
0.00,45,2.834963,0.721512,0.706040,True
0.00,46,1.762343,0.693634,0.739655,True
0.00,47,1.997070,1.158114,0.418925,True
0.00,48,3.387991,1.556470,0.000000,True
0.00,49,1.110724,0.415490,0.991858,True
0.00,50,1.181484,0.528552,1.068697,True
0.00,51,3.852919,1.400091,0.000000,True
0.00,52,4.319346,1.419638,0.000000,True
0.00,53,2.252111,0.482358,0.974607,True
0.00,54,1.514962,0.574250,0.999410,True
0.00,55,4.063842,0.997753,0.109102,True
0.00,56,3.010718,1.678766,0.000000,True
0.00,57,1.554324,0.584503,0.720172,True
0.00,58,4.709983,1.515877,0.000000,True
0.00,59,2.802298,1.031470,0.383867,True
0.00,60,3.001631,1.078660,0.251754,True
0.00,61,1.528548,0.292779,0.789493,True
0.00,62,5.105873,1.445179,0.000000,True
0.00,63,3.493026,1.545496,0.000000,True
0.00,64,3.729394,1.241364,0.164686,True
0.00,65,3.674068,1.535821,0.000000,True
0.00,66,4.069246,1.479640,0.000000,True
0.00,67,3.213910,1.662950,0.000000,True
0.00,68,2.967098,1.593096,0.000000,True
0.00,69,5.624998,1.489802,0.000000,True
0.00,70,1.052950,0.669355,0.794950,True
0.00,71,3.460326,1.238676,0.125317,True
0.00,72,3.047331,1.505458,0.000000,True
0.00,73,3.852422,1.636910,0.000000,True
0.00,74,6.230504,1.658396,0.000000,True
0.00,75,5.450847,1.463889,0.000000,True
0.00,76,4.341760,1.526219,0.000000,True
0.00,77,8.080370,1.548402,0.000000,True
0.00,78,4.569768,1.599560,0.000000,True
0.00,79,0.832639,0.430014,0.919369,True
0.00,80,4.662490,1.388296,0.000000,True
0.00,81,1.390304,0.502897,0.893787,True
0.00,82,3.883286,1.363088,0.000000,True
0.00,83,3.668611,1.624989,0.000000,True
0.00,84,4.377836,1.685349,0.000000,True
0.00,85,3.564294,1.402371,0.000000,True
0.00,86,2.283340,1.201421,0.201756,True
0.00,87,4.724269,1.493904,0.151872,True
0.00,88,2.240747,1.157630,0.520307,True
0.00,89,4.165474,1.420449,0.142562,True
0.00,90,1.492763,0.673069,0.735737,True
0.00,91,4.575473,1.588850,0.000000,True
0.00,92,2.187395,1.168864,0.259518,True
0.00,93,2.011266,0.900431,0.457669,True
0.00,94,1.157938,0.519985,0.913403,True
0.00,95,2.525457,1.170879,0.440978,True
0.00,96,3.327731,1.724925,0.000000,True
0.00,97,1.227866,0.652571,0.898625,True
0.00,98,2.188735,0.840148,0.508289,True
0.00,99,4.655094,1.807842,0.000000,True
0.00,100,3.894505,1.563083,0.000000,True
0.00,101,2.729374,0.967256,0.663974,True
0.00,102,5.295854,1.580155,0.000000,True
0.00,103,4.140266,1.628686,0.000000,True
0.00,104,1.134075,0.616480,0.803957,True
0.00,105,1.026114,0.583805,0.759724,True
0.00,106,1.050873,0.418190,0.827372,True
0.00,107,1.692472,0.544357,1.062646,True
0.00,108,4.152985,1.473715,0.000000,True
0.00,109,1.401830,0.698571,0.651307,True
0.00,110,4.002586,1.662730,0.000000,True
0.00,111,3.020910,1.730313,0.000000,True
0.00,112,1.673310,0.861158,0.734836,True
0.00,113,4.094025,1.606098,0.000000,True
0.00,114,2.185033,1.265583,0.357038,True
0.00,115,3.967183,1.370712,0.000000,True
0.00,116,5.698827,1.590753,0.000000,True
0.00,117,2.919489,0.974283,0.451121,True
0.00,118,2.233821,1.082079,0.268285,True
0.00,119,1.425813,0.876778,0.615454,True
0.00,120,2.350791,1.173153,0.305678,True
0.00,121,5.817995,1.564004,0.000000,True
0.00,122,3.295486,1.202656,0.588548,True
0.00,123,4.501531,1.354294,0.110623,True
0.00,124,4.740232,1.342331,0.000000,True
0.00,125,4.723895,1.608298,0.000000,True
0.00,126,1.552539,0.916433,0.624227,True
0.00,127,4.202610,1.080066,0.409957,True
0.00,128,4.876954,1.471227,0.000000,True
0.00,129,1.236053,0.611168,0.659207,True
0.00,130,1.759284,1.144072,0.607424,True
0.00,131,1.376939,0.293695,1.199572,True
0.00,132,1.096312,0.512532,0.824622,True
0.00,133,2.446088,1.658246,0.000000,True
