delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,1.404272,1.042039,0.032821,True
0.00,1,2.116387,1.108436,0.000000,True
0.00,2,1.302069,0.689973,0.120937,True
0.00,3,1.714222,1.342490,0.000000,True
0.00,4,1.696775,0.964962,0.027436,True
0.00,5,1.012993,0.908746,0.213797,True
0.00,6,1.084324,0.551117,0.368541,True
0.00,7,1.670139,1.237556,0.023699,True
0.00,8,2.117525,1.024317,0.170041,True
0.00,9,1.631839,0.840166,0.150764,True
0.00,10,1.037052,0.659315,0.305434,True
0.00,11,2.982990,1.103663,0.000000,True
0.00,12,1.414530,1.126323,0.179504,True
0.00,13,1.584169,1.092662,0.066923,True
0.00,14,1.584663,1.158027,0.000000,True
0.00,15,1.614811,0.936253,0.015050,True
0.00,16,2.054609,0.992836,0.000000,True
0.00,17,0.997268,0.683684,0.329370,True
0.00,18,1.549492,1.303290,0.031902,True
0.00,19,2.910846,1.119075,0.000000,True
0.00,20,2.015809,1.028584,0.013060,True
0.00,21,1.471041,1.039333,0.047523,True
0.00,22,1.471236,0.663199,0.184037,True
0.00,23,1.804297,0.941424,0.000000,True
0.00,24,1.368204,0.845719,0.038834,True
0.00,25,1.468930,1.236821,0.000000,True
0.00,26,1.923179,1.196370,0.000000,True
0.00,27,1.268491,1.132027,0.073164,True
0.00,28,1.713428,0.917973,0.258827,True
0.00,29,1.180739,0.705146,0.544603,True
0.00,30,1.196248,0.788270,0.147210,True
0.00,31,1.082518,0.782226,0.280192,True
0.00,32,2.099841,1.002829,0.000000,True
0.00,33,1.674548,1.301086,0.000000,True
0.00,34,1.587194,0.787289,0.128468,True
0.00,35,1.725282,0.978510,0.085446,True
0.00,36,1.434339,0.843069,0.183058,True
0.00,37,1.425489,0.999613,0.138312,True
0.00,38,1.164541,0.624047,0.146500,True
0.00,39,0.721991,0.467301,0.560181,True
0.00,40,1.032258,0.725860,0.213209,True
0.00,41,1.187187,0.635583,0.359089,True
0.00,42,1.816764,1.009733,0.000000,True
0.00,43,1.208638,1.224966,0.072432,True
0.00,44,1.743124,1.163247,0.000000,True
0.00,45,1.152018,0.994878,0.244935,True
0.00,46,1.842823,1.310185,0.000000,True
0.00,47,0.885179,0.714578,0.216972,True
0.00,48,1.661511,1.190730,0.059040,True
0.00,49,1.581182,1.108977,0.000000,True
0.00,50,1.252052,0.983450,0.102955,True
0.00,51,1.357171,0.922068,0.088817,True
0.00,52,1.128023,0.697998,0.319613,True
0.00,53,1.994398,0.980244,0.066722,True
0.00,54,1.905737,1.031306,0.000000,True
0.00,55,1.967127,1.305924,0.017362,True
0.00,56,1.552062,1.074347,0.126923,True
0.00,57,0.973125,0.733130,0.099585,True
0.00,58,1.396484,0.910897,0.199192,True
0.00,59,1.131139,1.165161,0.091600,True
0.00,60,1.577356,0.860353,0.135226,True
0.00,61,2.143374,1.161619,0.154275,True
0.00,62,1.048549,0.748183,0.236825,True
0.00,63,1.457608,1.105157,0.127064,True
0.00,64,1.606647,0.752484,0.202774,True
0.00,65,1.619106,1.068509,0.049840,True
0.00,66,1.411727,1.045511,0.011019,True
0.00,67,1.538627,1.068857,0.000000,True
0.00,68,1.832915,1.353518,0.000000,True
0.00,69,2.663010,1.449930,0.046064,True
0.00,70,2.898065,1.018712,0.000000,True
0.00,71,1.543051,1.163337,0.000000,True
0.00,72,2.039689,1.086568,0.000000,True
0.00,73,1.916601,1.142339,0.077358,True
0.00,74,1.047756,0.626915,0.138685,True
0.00,75,1.111787,0.992079,0.246813,True
0.00,76,2.014854,1.100132,0.000000,True
0.00,77,1.466163,1.122377,0.000000,True
0.00,78,2.124215,1.443221,0.000000,True
0.00,79,1.079641,0.956037,0.171206,True
0.00,80,1.614029,1.048417,0.068740,True
0.00,81,1.936367,1.085677,0.000000,True
0.00,82,1.662279,0.892822,0.082145,True
0.00,83,1.067794,0.816017,0.173084,True
0.00,84,1.962378,1.070765,0.000000,True
0.00,85,1.264635,1.175929,0.106139,True
0.00,86,1.872810,1.040991,0.100747,True
0.00,87,0.875878,0.598284,0.202509,True
0.00,88,1.977524,1.036247,0.000000,True
