delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,1.342935,0.743647,0.710352,True
0.00,1,4.054026,1.228659,0.194245,True
0.00,2,3.500680,1.621007,0.000000,True
0.00,3,1.059229,0.213906,0.699408,True
0.00,4,1.139674,0.613872,0.942105,True
0.00,5,1.089677,0.589986,0.561052,True
0.00,6,1.515517,0.824938,0.651675,True
0.00,7,0.929315,0.531500,0.808132,True
0.00,8,3.296440,1.365209,0.169657,True
0.00,9,4.406443,1.319103,0.000000,True
0.00,10,0.838406,0.594362,0.676214,True
0.00,11,2.555434,1.866573,0.000000,True
0.00,12,2.874862,1.452767,0.082576,True
0.00,13,2.338098,1.305630,0.590971,True
0.00,14,3.004356,1.308559,0.077377,True
0.00,15,0.808038,0.491284,0.889389,True
0.00,16,1.210248,0.492346,0.900209,True
0.00,17,2.903450,1.544723,0.000000,True
0.00,18,3.449095,1.378998,0.000000,True
0.00,19,3.336236,1.569675,0.000000,True
0.00,20,4.124654,1.538688,0.000000,True
0.00,21,4.006642,1.782257,0.000000,True
0.00,22,3.174156,1.667510,0.000000,True
0.00,23,2.169892,1.024047,0.494182,True
0.00,24,4.073882,1.190394,0.000000,True
0.00,25,2.257535,0.907810,0.529544,True
0.00,26,1.519795,0.763249,0.713213,True
0.00,27,1.794423,1.074297,0.672001,True
0.00,28,2.380912,1.488790,0.063885,True
0.00,29,3.580710,1.713873,0.000000,True
0.00,30,1.196589,0.490603,0.745822,True
0.00,31,2.419825,0.604327,0.614083,True
0.00,32,1.289832,0.677318,0.683724,True
0.00,33,2.924513,1.587074,0.000000,True
0.00,34,2.213376,1.381944,0.149075,True
0.00,35,1.727512,0.690112,0.524736,True
0.00,36,0.967297,0.380069,0.879546,True
0.00,37,3.955235,1.645625,0.000000,True
0.00,38,4.044882,1.712783,0.000000,True
0.00,39,2.631899,1.376019,0.193860,True
0.00,40,3.861288,1.561546,0.000000,True
0.00,41,4.847598,1.401785,0.000000,True
0.00,42,1.750398,1.177639,0.467936,True
0.00,43,4.769084,1.598236,0.000000,True
0.00,44,2.196665,1.216865,0.219063,True
0.00,45,3.094529,1.780109,0.000000,True
0.00,46,3.115340,1.212722,0.314021,True
0.00,47,1.728296,1.007147,0.451779,True
0.00,48,4.981335,1.758370,0.000000,True
0.00,49,2.346804,1.342909,0.254817,True
0.00,50,2.387613,1.089941,0.436459,True
0.00,51,2.727672,1.668424,0.000000,True
0.00,52,2.888136,1.567583,0.000000,True
0.00,53,3.800569,1.516603,0.000000,True
0.00,54,3.022704,1.729425,0.000000,True
0.00,55,1.817537,0.468995,0.935178,True
0.00,56,1.640478,0.783533,0.663175,True
0.00,57,1.481603,0.776799,0.562925,True
0.00,58,3.601427,1.841127,0.000000,True
0.00,59,1.849639,0.838621,0.635502,True
0.00,60,1.988376,0.905559,0.662353,True
0.00,61,4.419322,1.476519,0.000000,True
0.00,62,4.334111,1.026857,0.403087,True
0.00,63,3.463573,1.546428,0.000000,True
0.00,64,3.076288,0.968864,0.586295,True
0.00,65,1.846198,1.149957,0.471573,True
0.00,66,3.888084,1.594690,0.000000,True
0.00,67,4.050951,1.288228,0.000000,True
0.00,68,3.614965,1.347157,0.000000,True
0.00,69,4.463820,1.510734,0.000000,True
0.00,70,3.173383,1.132411,0.577182,True
0.00,71,1.717409,1.121762,0.611034,True
0.00,72,1.760071,0.808461,0.659921,True
0.00,73,2.644062,1.565179,0.000000,True
0.00,74,1.281988,0.553008,0.743921,True
0.00,75,1.129018,0.512894,0.877049,True
0.00,76,0.815982,0.321443,1.219625,True
0.00,77,2.981960,1.467816,0.000000,True
0.00,78,2.872127,1.715171,0.000000,True
0.00,79,1.066358,0.965198,0.620443,True
0.00,80,3.056748,1.563725,0.000000,True
0.00,81,2.254631,1.740698,0.000000,True
0.00,82,2.137001,0.909925,0.590288,True
0.00,83,3.319946,1.714642,0.000000,True
0.00,84,3.145070,1.642370,0.000000,True
0.00,85,3.050959,1.495265,0.238626,True
0.00,86,3.130035,1.621847,0.000000,True
0.00,87,1.288624,0.824374,0.657737,True
0.00,88,2.309194,1.213383,0.400619,True
