delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,7.825287,1.534474,0.000000,True
0.00,1,3.085950,0.531692,1.020470,True
0.00,2,6.534402,1.551069,0.000000,True
0.00,3,0.879468,0.253155,1.119772,True
0.00,4,9.642138,1.595095,0.000000,True
0.00,5,5.668164,1.582461,0.000000,True
0.00,6,11.067118,1.487647,0.000000,True
0.00,7,3.140963,0.627243,0.836097,True
0.00,8,7.312339,1.471118,0.000000,True
0.00,9,6.611395,1.440999,0.000000,True
0.00,10,7.208762,1.384794,0.000000,True
0.00,11,7.244583,1.476296,0.000000,True
0.00,12,6.282870,1.437080,0.000000,True
0.00,13,1.616774,0.353339,1.073166,True
0.00,14,2.918471,0.418014,1.097082,True
0.00,15,9.353827,1.587788,0.000000,True
0.00,16,2.586357,0.605069,0.864142,True
0.00,17,8.644712,1.516722,0.000000,True
0.00,18,7.313370,1.464581,0.000000,True
0.00,19,4.926950,0.757440,0.731977,True
0.00,20,7.960637,1.429238,0.000000,True
0.00,21,2.034872,0.437216,0.942617,True
0.00,22,7.256341,1.523475,0.000000,True
0.00,23,9.061370,1.520296,0.000000,True
0.00,24,9.424067,1.580934,0.000000,True
0.00,25,8.037754,1.471501,0.000000,True
0.00,26,1.512701,0.267438,1.272053,True
0.00,27,3.150160,0.826446,0.811287,True
0.00,28,8.702238,1.562731,0.000000,True
0.00,29,5.225995,1.552042,0.000000,True
0.00,30,1.970614,0.413225,1.097747,True
0.00,31,2.164131,0.526583,0.775740,True
0.00,32,9.839127,1.500281,0.000000,True
0.00,33,6.602602,1.441807,0.061222,True
0.00,34,3.134371,0.722850,0.753485,True
0.00,35,0.862457,0.145311,1.331095,True
0.00,36,3.178149,0.833747,0.592571,True
0.00,37,1.289237,0.195443,1.307057,True
0.00,38,6.010597,1.499543,0.000000,True
0.00,39,2.987696,0.491037,0.943122,True
0.00,40,9.974978,1.484271,0.000000,True
0.00,41,8.772458,1.578026,0.000000,True
0.00,42,1.953907,0.616269,0.938343,True
0.00,43,1.572461,0.440305,1.046675,True
0.00,44,1.743585,0.288941,1.127405,True
