beta,eta,gamma,gamma_over_eta,n,repeat_id,x_min,x_max,range,Q1,Med,Q3,IQR,x_bar,s,CV,g1,g2
1.5,1.0,0.1,0.1,7,0,0.2926891202897657,1.2929402732426232,1.0002511529528575,0.45633060568792005,0.6319515307674437,0.8714589265671864,0.4151283208792663,0.6961657126871493,0.34323526505480495,0.4930367278933368,0.47065481598843684,-1.3193640680674388
1.5,1.0,0.1,0.1,7,1,0.22863950275868367,1.5847742493196348,1.3561347465609512,0.591661347894258,1.0288828565604045,1.3758353800988823,0.7841740322046243,0.968184294946429,0.5270088763638081,0.5443270244256216,-0.08253119197272842,-1.7833485417851347
1.5,1.0,0.1,0.1,7,2,0.44216200096701763,1.6519160539724473,1.2097540530054296,0.6529149496160914,0.9234796633030087,1.2623145285023665,0.609399578886275,0.9782880963541984,0.47480452332263295,0.4853422269902848,0.37080387446902696,-1.695729224341473
1.5,1.0,0.1,0.1,7,3,0.7141036734903203,1.9714867993694665,1.2573831258791461,0.9969786972466405,1.1418537565096156,1.6416990871123505,0.64472038986571,1.300685685441055,0.4621071708269937,0.3552796621039893,0.16660220186311867,-1.7666745927247054
1.5,1.0,0.1,0.1,7,4,0.40010199097935883,2.4273434282342,2.0272414372548413,0.6471064680617993,1.123662004006794,1.9134292947523148,1.2663228266905155,1.296025564121226,0.8294936670168699,0.6400287849100497,0.3528950908464138,-1.8067557427756913
1.5,1.0,0.1,0.1,7,5,0.16703552049163306,1.3227820853986916,1.1557465649070586,0.5443274560687182,1.1504595958973527,1.188994832526785,0.6446673764580667,0.8724173969969549,0.4812245989973636,0.5515990403834683,-0.5580276878278704,-1.7122692015442045
1.5,1.0,0.1,0.1,7,6,0.26063265694024734,1.533151090311917,1.2725184333716697,0.5045309685205073,0.6223264586490239,0.6971533271958823,0.19262235867537503,0.6884969710477097,0.4028532285371093,0.5851198269239639,1.1171173796973948,-0.04406683989800886
1.5,1.0,0.1,0.1,7,7,0.43583256108686763,1.854528998109328,1.4186964370224604,0.6411274047200998,1.0021319142546545,1.2681507755984014,0.6270233708783016,1.0158642620125504,0.5031645789805063,0.4953069005338136,0.3977281604968252,-1.4634302826789427
1.5,1.0,0.1,0.1,7,8,0.6865860112507671,4.106856275363137,3.42027026411237,0.854149369474581,1.541419845343728,2.2317236387835324,1.3775742693089514,1.786658306924837,1.2113172255560822,0.6779792313175869,0.776430943984866,-0.8690942225945144
1.5,1.0,0.1,0.1,7,9,0.3012933623699555,1.5488565001194121,1.2475631377494567,0.3245364494895169,0.367893329611796,1.0570270009501281,0.7324905514606113,0.7115957275686363,0.5146748400204416,0.7232685920964852,0.5338830750872995,-1.6672243596357272
1.5,1.0,0.1,0.1,7,10,0.22494057751212676,1.4784117520718607,1.253471174559734,0.3807933959858272,0.8715283348359258,1.1805542618652098,0.7997608658793827,0.8139394257317125,0.4914834613490061,0.6038329706257612,0.00932396927921226,-1.9297191509100833
