delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,7.917211,2.189397,0.000000,True
0.00,1,7.974375,2.055037,0.000000,True
0.00,2,5.931629,1.779759,0.108815,True
0.00,3,5.170235,2.101748,0.000000,True
0.00,4,5.082711,2.028315,0.000000,True
0.00,5,4.277235,2.088087,0.000000,True
0.00,6,3.896726,1.539759,0.427143,True
0.00,7,5.631484,1.781183,0.153220,True
0.00,8,2.999611,1.179038,0.875210,True
0.00,9,6.458949,2.166226,0.000000,True
0.00,10,4.193409,2.175672,0.005560,True
0.00,11,5.019988,2.125875,0.000000,True
0.00,12,2.050541,0.956736,0.941655,True
0.00,13,5.618110,2.073399,0.000000,True
0.00,14,1.174370,0.344015,1.342813,True
0.00,15,5.635583,2.140308,0.000000,True
0.00,16,5.434155,1.770574,0.000000,True
0.00,17,4.495418,1.312905,0.710341,True
0.00,18,4.673098,2.072182,0.000000,True
0.00,19,4.567722,2.203991,0.000000,True
0.00,20,4.695782,2.043609,0.000000,True
0.00,21,1.179784,0.279635,1.765543,True
0.00,22,3.919431,1.713552,0.292583,True
0.00,23,1.419368,0.726350,1.392932,True
0.00,24,11.847023,1.831532,0.000000,True
0.00,25,2.054518,0.943700,1.127183,True
0.00,26,1.478068,0.649410,1.033749,True
0.00,27,2.050283,0.604753,1.282220,True
0.00,28,1.890296,0.747600,1.075387,True
0.00,29,2.523399,0.927399,0.947462,True
0.00,30,6.934823,1.986673,0.000000,True
0.00,31,6.859554,1.828349,0.000000,True
0.00,32,4.425272,2.025467,0.000000,True
0.00,33,5.734068,1.981732,0.000000,True
0.00,34,3.972316,1.924850,0.000000,True
0.00,35,3.141228,1.556471,0.505928,True
0.00,36,5.914696,1.907035,0.000000,True
0.00,37,5.384323,1.982503,0.000000,True
0.00,38,5.704974,1.840326,0.000000,True
0.00,39,1.259877,0.514091,1.328365,True
0.00,40,1.418189,0.481903,1.456864,True
0.00,41,0.705346,0.306351,1.439516,True
0.00,42,1.468434,0.513736,1.376446,True
0.00,43,1.441405,0.672988,1.291785,True
0.00,44,5.383963,1.899149,0.000000,True
0.00,45,0.937283,0.443964,1.355568,True
0.00,46,4.984507,2.107897,0.000000,True
0.00,47,1.012221,0.402093,1.560932,True
0.00,48,3.305331,1.628744,0.402464,True
0.00,49,1.722161,1.077827,0.904016,True
0.00,50,4.435024,1.878259,0.152802,True
0.00,51,5.579170,1.714426,0.350842,True
0.00,52,1.632541,0.796173,1.124086,True
0.00,53,2.376860,0.933136,1.144111,True
0.00,54,1.791133,0.471757,1.629105,True
0.00,55,1.294028,0.568519,1.382742,True
0.00,56,1.482995,0.727234,1.090148,True
0.00,57,1.422422,0.848413,1.124209,True
0.00,58,2.306076,0.873686,0.950246,True
0.00,59,6.517765,1.886695,0.000000,True
0.00,60,1.117328,0.635489,1.422570,True
0.00,61,1.460855,0.481650,1.373073,True
0.00,62,3.156027,0.903341,1.167948,True
0.00,63,2.031337,0.716086,1.373616,True
0.00,64,2.357756,0.708304,1.078079,True
0.00,65,3.874499,1.922195,0.134254,True
0.00,66,1.753023,0.757808,1.202563,True
0.00,67,2.638140,0.992866,1.007670,True
0.00,68,3.582043,0.866497,1.112681,True
0.00,69,9.397850,1.872614,0.000000,True
0.00,70,2.736341,1.300233,0.884075,True
0.00,71,3.577755,1.397058,0.600867,True
0.00,72,1.009199,0.382851,1.555527,True
0.00,73,2.071477,0.519783,1.365666,True
0.00,74,6.040777,1.999240,0.000000,True
0.00,75,7.729057,2.004729,0.000000,True
0.00,76,3.130885,0.681511,1.455444,True
0.00,77,1.078559,0.534112,1.372478,True
0.00,78,2.254099,0.787983,1.227932,True
0.00,79,2.083872,0.885114,1.127789,True
0.00,80,3.426717,1.213282,0.551181,True
0.00,81,2.678355,1.359138,0.610147,True
0.00,82,4.934376,2.018374,0.000000,True
0.00,83,4.567957,2.172431,0.000000,True
0.00,84,1.729395,0.454486,1.555099,True
0.00,85,7.468341,1.794876,0.000000,True
0.00,86,3.540875,0.892096,0.893185,True
0.00,87,4.221929,2.075021,0.000000,True
0.00,88,4.738537,2.118633,0.000000,True
0.00,89,1.308041,0.597533,1.422770,True
0.00,90,1.679367,1.061542,1.079651,True
0.00,91,1.953252,0.959242,1.092158,True
0.00,92,4.302572,2.040078,0.000000,True
0.00,93,1.772812,0.505303,1.553719,True
