delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,2.403904,0.804119,0.684978,True
0.00,1,1.101074,0.522359,0.903568,True
0.00,2,6.585095,1.235036,0.000000,True
0.00,3,2.889852,0.933742,0.719801,True
0.00,4,2.843402,1.817367,0.000000,True
0.00,5,5.667384,1.599099,0.000000,True
0.00,6,1.119954,0.507875,1.088828,True
0.00,7,4.431214,1.691158,0.000000,True
0.00,8,0.902127,0.172070,1.127162,True
0.00,9,1.362149,0.723191,0.737242,True
0.00,10,5.831598,1.434395,0.000000,True
0.00,11,4.613049,1.700174,0.000000,True
0.00,12,1.999221,0.918504,0.588019,True
0.00,13,1.006280,0.648267,0.576957,True
0.00,14,1.472728,0.835752,0.518418,True
0.00,15,2.156615,1.524848,0.179898,True
0.00,16,5.149449,1.637696,0.000000,True
0.00,17,5.017294,1.580619,0.000000,True
0.00,18,3.595396,1.426332,0.000000,True
0.00,19,4.498993,1.388328,0.000000,True
0.00,20,3.285654,1.031950,0.262232,True
0.00,21,4.422795,1.230632,0.093739,True
0.00,22,9.154771,1.649323,0.000000,True
0.00,23,1.088778,0.483517,1.156058,True
0.00,24,4.668006,1.601358,0.000000,True
0.00,25,3.597229,1.313735,0.000000,True
0.00,26,0.952317,0.408942,0.881277,True
0.00,27,3.870178,1.220073,0.000000,True
0.00,28,4.715563,1.430724,0.000000,True
0.00,29,0.889015,0.492742,0.958441,True
0.00,30,1.699297,0.775389,0.629157,True
0.00,31,4.072794,1.533398,0.000000,True
0.00,32,0.907517,0.381762,1.130442,True
0.00,33,4.846365,1.385029,0.000000,True
0.00,34,4.343600,1.620052,0.000000,True
0.00,35,0.986883,0.267500,1.231746,True
0.00,36,4.760906,1.195465,0.443912,True
0.00,37,1.213166,0.297665,1.273704,True
0.00,38,4.674646,1.550601,0.000000,True
0.00,39,3.452060,1.783968,0.000000,True
0.00,40,0.712687,0.191428,1.163993,True
0.00,41,6.380007,1.586230,0.000000,True
0.00,42,0.880943,0.462942,0.979947,True
0.00,43,0.960244,0.473534,0.816138,True
0.00,44,4.760406,1.525643,0.000000,True
0.00,45,3.370880,1.185864,0.000000,True
0.00,46,1.053694,0.570069,0.956294,True
0.00,47,4.179728,1.488915,0.000000,True
0.00,48,5.631309,1.519378,0.000000,True
0.00,49,8.170769,1.431308,0.000000,True
0.00,50,2.027618,0.875630,0.457656,True
0.00,51,3.135166,1.533390,0.000000,True
0.00,52,1.819939,0.802469,0.582222,True
0.00,53,2.412878,1.231171,0.223526,True
0.00,54,1.029874,0.606715,1.035997,True
0.00,55,0.928602,0.468001,0.854084,True
0.00,56,4.111556,1.552326,0.000000,True
0.00,57,4.637486,1.707011,0.000000,True
0.00,58,4.345447,1.431352,0.000000,True
0.00,59,4.066598,1.439743,0.000000,True
0.00,60,3.662595,1.683544,0.000000,True
0.00,61,2.958290,1.472513,0.000000,True
0.00,62,2.041081,1.283698,0.341885,True
0.00,63,1.150739,0.520608,1.116754,True
0.00,64,1.695152,0.968292,0.518143,True
0.00,65,1.664630,0.754423,0.656659,True
0.00,66,4.293204,1.533691,0.000000,True
0.00,67,1.357746,0.467434,1.023462,True
0.00,68,6.813724,1.340686,0.000000,True
0.00,69,4.618260,1.417283,0.000000,True
0.00,70,1.361269,0.940145,0.427687,True
0.00,71,2.541518,1.004766,0.566988,True
0.00,72,3.357944,1.447717,0.000000,True
0.00,73,6.021756,1.556663,0.000000,True
0.00,74,4.104619,1.575714,0.000000,True
0.00,75,5.117197,0.769461,0.812860,True
0.00,76,3.805488,1.039473,0.581938,True
0.00,77,5.140539,1.643498,0.000000,True
0.00,78,2.465808,1.517496,0.000000,True
0.00,79,0.881324,0.391769,0.711393,True
0.00,80,2.281269,0.893066,0.644277,True
0.00,81,1.751221,0.323663,1.152652,True
0.00,82,4.203965,1.694697,0.000000,True
0.00,83,1.507307,0.773407,0.714040,True
0.00,84,5.521052,1.356023,0.000000,True
0.00,85,6.787998,1.660838,0.000000,True
0.00,86,1.226247,0.629138,1.076666,True
0.00,87,7.631690,1.569124,0.000000,True
0.00,88,1.056750,0.394185,0.957215,True
0.00,89,1.270164,0.170848,0.989483,True
0.00,90,4.021353,1.502893,0.000000,True
0.00,91,1.914862,0.893400,0.538164,True
0.00,92,3.762448,1.473059,0.000000,True
0.00,93,4.379782,1.850134,0.000000,True
0.00,94,3.266840,1.492663,0.197503,True
0.00,95,2.667108,1.315929,0.216768,True
0.00,96,4.349047,1.330419,0.000000,True
0.00,97,3.288871,1.390231,0.000000,True
0.00,98,1.095791,0.322414,1.408630,True
0.00,99,4.489585,1.530855,0.000000,True
0.00,100,3.002849,1.326170,0.262275,True
0.00,101,4.639545,1.470792,0.000000,True
0.00,102,3.417095,1.692762,0.000000,True
0.00,103,1.554063,0.916084,0.750642,True
0.00,104,6.362224,1.543119,0.000000,True
0.00,105,1.090966,0.472441,0.811065,True
0.00,106,0.605416,0.203287,1.217042,True
0.00,107,6.792693,1.622469,0.000000,True
0.00,108,4.031448,1.563716,0.000000,True
0.00,109,2.032097,0.940046,0.573754,True
0.00,110,0.692639,0.389115,1.159569,True
0.00,111,0.871374,0.462700,1.203669,True
0.00,112,1.243383,0.707672,0.890494,True
0.00,113,4.418818,1.658399,0.000000,True
0.00,114,0.991047,0.265562,0.862175,True
0.00,115,3.707134,1.720268,0.000000,True
0.00,116,1.861621,0.586680,0.990640,True
0.00,117,4.881265,1.630579,0.000000,True
0.00,118,2.635095,1.687177,0.000000,True
0.00,119,4.786864,1.634439,0.000000,True
0.00,120,2.864748,1.361541,0.000000,True
0.00,121,2.970009,1.902008,0.000000,True
0.00,122,2.465593,1.149419,0.373053,True
0.00,123,5.796829,1.656728,0.000000,True
0.00,124,5.277579,1.319036,0.000000,True
0.00,125,2.860559,1.580517,0.000000,True
0.00,126,3.371055,1.231244,0.263953,True
0.00,127,4.781979,1.704429,0.000000,True
0.00,128,1.328512,0.455980,0.875646,True
0.00,129,1.006160,0.529434,0.738485,True
0.00,130,1.395120,0.538664,1.067018,True
0.00,131,3.281009,1.543110,0.000000,True
0.00,132,1.416153,0.690585,0.906932,True
0.00,133,5.641408,0.980656,0.750277,True
0.00,134,7.266180,1.519132,0.000000,True
0.00,135,1.881822,1.031933,0.510930,True
0.00,136,3.169188,1.636951,0.000000,True
0.00,137,1.562334,0.657293,0.749941,True
0.00,138,1.391422,0.673424,0.792102,True
0.00,139,0.809175,0.551527,1.078964,True
0.00,140,2.425645,1.075067,0.271094,True
0.00,141,6.644774,1.308681,0.000000,True
0.00,142,3.571642,1.338231,0.173807,True
0.00,143,1.160489,0.485189,0.879109,True
0.00,144,4.455433,1.591500,0.000000,True
0.00,145,3.384678,1.370696,0.000000,True
0.00,146,3.045191,1.428888,0.000000,True
0.00,147,0.792641,0.409589,1.008903,True
0.00,148,2.183462,1.265078,0.211082,True
0.00,149,3.444090,1.364575,0.000000,True
0.00,150,3.128190,1.023559,0.266413,True
0.00,151,2.473875,1.618434,0.000000,True
0.00,152,6.305440,1.550710,0.000000,True
0.00,153,2.751288,1.525304,0.000000,True
0.00,154,1.193776,0.488887,0.861334,True
0.00,155,7.691988,1.366411,0.000000,True
0.00,156,3.618603,1.823397,0.000000,True
0.00,157,3.228553,0.923061,0.697557,True
0.00,158,1.995619,0.963646,0.685370,True
0.00,159,3.757847,1.276760,0.000000,True
0.00,160,2.684426,1.406470,0.000000,True
0.00,161,2.733471,0.926450,0.365375,True
0.00,162,3.323368,1.761894,0.000000,True
0.00,163,3.910565,1.662427,0.000000,True
0.00,164,3.714041,1.646503,0.000000,True
0.00,165,1.902768,0.611076,0.833808,True
0.00,166,3.866076,1.089114,0.312691,True
0.00,167,1.172231,0.709304,0.735361,True
0.00,168,4.396563,1.657612,0.000000,True
0.00,169,1.370419,0.264346,1.257774,True
0.00,170,3.542616,1.177611,0.580235,True
0.00,171,1.574336,0.903042,0.727713,True
0.00,172,5.260605,1.451855,0.000000,True
0.00,173,7.901364,1.515154,0.000000,True
0.00,174,0.564098,0.139785,1.193183,True
0.00,175,4.327743,1.491029,0.000000,True
0.00,176,1.567491,0.637122,0.785712,True
0.00,177,4.977378,1.378521,0.000000,True
0.00,178,2.853641,0.896219,0.488154,True
0.00,179,5.330757,1.569389,0.000000,True
0.00,180,1.026960,0.453039,0.926716,True
0.00,181,4.839334,1.340967,0.000000,True
0.00,182,1.367490,0.508402,0.854156,True
0.00,183,4.038864,1.700565,0.000000,True
0.00,184,3.168567,1.531016,0.000000,True
0.00,185,1.104312,0.719432,0.676266,True
0.00,186,0.636815,0.374003,0.682167,True
0.00,187,5.383421,1.698665,0.000000,True
0.00,188,0.920399,0.597235,0.725494,True
0.00,189,2.487794,0.346499,0.799757,True
0.00,190,2.958173,1.509190,0.000000,True
0.00,191,6.501024,1.584319,0.000000,True
0.00,192,5.067270,1.675551,0.000000,True
0.00,193,4.437891,1.757299,0.000000,True
0.00,194,4.045148,1.404443,0.000000,True
0.00,195,3.108942,1.513833,0.000000,True
0.00,196,2.812038,1.002075,0.610987,True
0.00,197,3.719202,0.666036,0.640773,True
0.00,198,4.739539,1.603102,0.000000,True
0.00,199,2.157086,1.179061,0.213209,True
0.00,200,5.181905,1.478652,0.000000,True
0.00,201,1.012163,0.766176,0.631159,True
0.00,202,1.405889,0.346630,1.031240,True
0.00,203,3.121944,1.723459,0.000000,True
0.00,204,1.799672,0.858701,0.617024,True
0.00,205,1.991412,0.915298,0.936545,True
0.00,206,1.267988,0.817370,0.846078,True
0.00,207,2.844385,1.491490,0.000000,True
0.00,208,3.439927,1.718091,0.000000,True
0.00,209,1.763415,0.575107,0.608228,True
0.00,210,5.874442,1.501129,0.000000,True
0.00,211,0.672145,0.158738,0.918072,True
0.00,212,1.347752,0.655539,0.881231,True
0.00,213,3.186147,1.642794,0.000000,True
0.00,214,0.872709,0.421065,0.952794,True
0.00,215,3.346984,1.135657,0.000000,True
0.00,216,7.402088,1.404992,0.000000,True
0.00,217,6.443703,1.721484,0.000000,True
0.00,218,4.618814,1.194883,0.000000,True
0.00,219,4.806880,1.606520,0.000000,True
0.00,220,1.717209,0.944466,0.401070,True
0.00,221,4.419817,1.475999,0.000000,True
0.00,222,9.608400,1.651740,0.000000,True
0.00,223,2.173111,0.689602,0.829845,True
0.00,224,4.565089,1.563408,0.000000,True
0.00,225,6.346798,1.500029,0.000000,True
