delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,0.779232,0.296247,1.102529,True
0.00,1,0.865162,0.144317,1.347155,True
0.00,2,8.284417,1.536894,0.000000,True
0.00,3,1.426979,0.243332,1.222409,True
0.00,4,4.601499,1.545833,0.000000,True
0.00,5,5.876045,1.521153,0.000000,True
0.00,6,1.188993,0.427594,0.925129,True
0.00,7,9.335117,1.545073,0.000000,True
0.00,8,4.782013,1.661448,0.000000,True
0.00,9,5.805110,1.059649,0.414253,True
0.00,10,6.192808,1.445777,0.000000,True
0.00,11,1.441541,0.202306,1.179434,True
0.00,12,4.341131,1.441288,0.000000,True
0.00,13,1.839679,0.306240,1.168191,True
0.00,14,1.565425,0.308454,1.086936,True
0.00,15,7.218389,1.442745,0.000000,True
0.00,16,1.651716,0.417938,1.001604,True
0.00,17,6.854617,1.510800,0.000000,True
0.00,18,2.208177,0.456617,0.988345,True
0.00,19,9.774937,1.608267,0.000000,True
0.00,20,4.959546,1.070825,0.425846,True
0.00,21,2.795058,0.391996,0.979757,True
0.00,22,4.036098,0.642244,0.811816,True
0.00,23,2.322471,0.391265,1.137749,True
0.00,24,14.999995,1.333464,0.092122,True
0.00,25,6.755633,1.561669,0.000000,True
0.00,26,11.581940,1.441893,0.000000,True
0.00,27,7.742222,1.620162,0.000000,True
0.00,28,10.646549,1.439381,0.000000,True
0.00,29,8.094598,1.546703,0.000000,True
0.00,30,7.248596,1.496882,0.000000,True
0.00,31,2.553988,0.696609,0.812550,True
0.00,32,1.532339,0.535852,0.906346,True
0.00,33,7.089806,1.690324,0.000000,True
0.00,34,4.892758,1.535942,0.000000,True
0.00,35,9.306474,1.472493,0.000000,True
0.00,36,1.957165,0.279030,1.179871,True
0.00,37,0.844706,0.278963,1.178572,True
0.00,38,7.830801,1.500951,0.000000,True
0.00,39,9.284328,1.565880,0.000000,True
0.00,40,2.255975,0.311975,1.160214,True
0.00,41,6.577093,1.725529,0.000000,True
0.00,42,13.039703,1.467525,0.000000,True
0.00,43,5.697628,1.646250,0.000000,True
0.00,44,8.680928,1.513183,0.000000,True
0.00,45,2.680262,0.601656,0.926131,True
0.00,46,1.785900,0.466999,0.999010,True
0.00,47,0.537613,0.098123,1.389624,True
0.00,48,2.460215,0.655107,0.765824,True
0.00,49,7.850399,1.561433,0.000000,True
0.00,50,1.977712,0.328643,1.074523,True
0.00,51,5.905577,1.353822,0.000000,True
0.00,52,6.183416,1.639457,0.000000,True
0.00,53,1.571683,0.306655,1.246962,True
0.00,54,1.832322,0.252439,1.204795,True
0.00,55,10.148104,1.543912,0.000000,True
0.00,56,10.685412,1.428497,0.000000,True
0.00,57,2.427159,0.537599,0.822836,True
0.00,58,8.828770,1.559177,0.000000,True
0.00,59,2.405826,0.474293,0.976536,True
0.00,60,11.007082,1.546914,0.000000,True
0.00,61,1.740242,0.399371,1.104635,True
0.00,62,2.508582,0.491911,0.983480,True
0.00,63,1.077111,0.208977,1.217397,True
0.00,64,5.382267,1.354828,0.000000,True
0.00,65,2.409719,0.357584,1.124732,True
0.00,66,3.949501,1.426971,0.000000,True
0.00,67,7.494545,1.603575,0.000000,True
0.00,68,5.240499,1.550895,0.000000,True
0.00,69,6.206918,1.505007,0.000000,True
0.00,70,2.056085,0.379485,1.166526,True
0.00,71,7.273815,1.432916,0.000000,True
0.00,72,5.366379,1.456787,0.000000,True
0.00,73,7.851856,1.567775,0.000000,True
0.00,74,6.844123,1.526774,0.000000,True
0.00,75,9.599250,1.613522,0.000000,True
0.00,76,8.147413,1.551535,0.000000,True
0.00,77,4.245109,1.406174,0.094928,True
0.00,78,10.085016,1.443885,0.000000,True
0.00,79,4.143942,1.470342,0.000000,True
0.00,80,6.886461,1.652456,0.000000,True
0.00,81,1.825319,0.608498,0.894441,True
0.00,82,5.036845,1.547056,0.000000,True
0.00,83,4.652413,1.051624,0.408770,True
0.00,84,8.514209,1.448430,0.000000,True
0.00,85,3.314652,0.533752,1.001144,True
0.00,86,1.377205,0.253710,1.182403,True
0.00,87,0.781917,0.191269,1.216207,True
0.00,88,4.812024,0.898378,0.588679,True
0.00,89,1.250589,0.392811,0.903555,True
0.00,90,11.309028,1.649216,0.000000,True
0.00,91,1.383694,0.397195,1.077166,True
0.00,92,9.138108,1.624512,0.000000,True
0.00,93,5.955007,1.557707,0.000000,True
0.00,94,1.356321,0.438963,1.063585,True
0.00,95,8.903914,1.571607,0.000000,True
0.00,96,1.551809,0.355186,1.116988,True
0.00,97,6.149570,1.612583,0.000000,True
0.00,98,13.015121,1.445767,0.000000,True
0.00,99,9.689225,1.592544,0.000000,True
0.00,100,2.920951,0.492341,0.919019,True
0.00,101,4.906366,1.605221,0.000000,True
0.00,102,6.080979,1.688358,0.000000,True
0.00,103,10.188915,1.491460,0.000000,True
0.00,104,3.622313,0.914252,0.627713,True
0.00,105,4.198620,0.539530,1.024480,True
0.00,106,7.122047,1.571590,0.000000,True
0.00,107,4.135528,1.455716,0.000000,True
0.00,108,5.464318,1.456693,0.000000,True
0.00,109,8.132282,1.545057,0.000000,True
0.00,110,7.308226,1.340671,0.000000,True
0.00,111,2.763520,0.623679,0.826233,True
0.00,112,4.293858,1.492210,0.000000,True
0.00,113,6.990032,1.603121,0.003838,True
0.00,114,7.440364,1.459630,0.000000,True
0.00,115,5.177616,1.519741,0.000000,True
0.00,116,6.864315,0.937057,0.611125,True
0.00,117,6.265190,1.393377,0.000000,True
0.00,118,3.392405,0.689084,0.845896,True
0.00,119,2.880020,0.643404,0.834532,True
0.00,120,11.122072,1.645947,0.000000,True
0.00,121,1.300548,0.445939,0.982680,True
0.00,122,5.631363,1.659800,0.000000,True
0.00,123,1.619436,0.420771,1.058512,True
0.00,124,5.827491,1.437861,0.000000,True
0.00,125,0.793767,0.133505,1.347821,True
0.00,126,5.220883,1.580142,0.000000,True
0.00,127,2.073319,0.543726,1.024178,True
0.00,128,7.238661,1.428290,0.000000,True
0.00,129,3.769885,1.558191,0.000000,True
0.00,130,1.945103,0.560101,0.953584,True
0.00,131,1.249561,0.163983,1.424190,True
0.00,132,1.042530,0.227701,1.246912,True
0.00,133,8.616861,0.957134,0.393328,True
0.00,134,0.729888,0.162443,1.313798,True
0.00,135,1.623533,0.349065,1.147193,True
0.00,136,2.664289,0.706574,0.738532,True
0.00,137,8.062521,1.616212,0.000000,True
0.00,138,2.784571,0.450941,0.974898,True
0.00,139,11.391703,1.353492,0.000000,True
0.00,140,5.027219,1.588364,0.000000,True
0.00,141,6.654141,1.549351,0.000000,True
0.00,142,2.127311,0.512696,0.977240,True
0.00,143,9.072617,1.436243,0.000000,True
0.00,144,0.413598,0.171960,1.125573,True
0.00,145,14.515887,1.607827,0.000000,True
0.00,146,14.999995,0.924446,0.616628,True
0.00,147,1.935561,0.331052,1.249348,True
0.00,148,4.569807,1.389302,0.000000,True
0.00,149,1.733619,0.395918,1.042450,True
0.00,150,8.486610,1.494546,0.000000,True
0.00,151,1.760387,0.366843,1.135721,True
0.00,152,1.622383,0.432375,0.927562,True
0.00,153,5.733671,1.564505,0.000000,True
0.00,154,0.678847,0.169242,1.210539,True
0.00,155,6.211338,1.452347,0.000000,True
0.00,156,2.580386,0.280889,1.132136,True
0.00,157,1.373716,0.296868,1.098604,True
0.00,158,8.026444,1.608913,0.000000,True
0.00,159,1.044811,0.192728,1.413360,True
0.00,160,9.767069,1.429091,0.000000,True
0.00,161,5.028570,1.514629,0.000000,True
0.00,162,3.913788,0.824694,0.563121,True
0.00,163,3.063124,0.525990,0.947516,True
0.00,164,4.633666,1.098632,0.539733,True
0.00,165,0.893765,0.201145,1.289920,True
0.00,166,5.800613,1.436053,0.000000,True
0.00,167,5.325373,1.510983,0.000000,True
0.00,168,1.713526,0.341293,1.142687,True
0.00,169,1.789762,0.320240,1.216214,True
0.00,170,7.714618,1.485191,0.000000,True
0.00,171,1.913664,0.640636,0.751835,True
0.00,172,6.043703,1.505738,0.000000,True
0.00,173,1.271536,0.317767,1.053466,True
0.00,174,6.916313,1.636319,0.000000,True
0.00,175,2.649037,0.607878,0.711561,True
0.00,176,2.249344,0.520683,0.987774,True
0.00,177,7.068746,1.606006,0.000000,True
0.00,178,5.701741,1.407989,0.000000,True
0.00,179,6.110028,1.321709,0.059135,True
0.00,180,7.859845,1.461573,0.000000,True
0.00,181,5.313469,0.899915,0.686221,True
0.00,182,3.187145,0.713480,0.844304,True
0.00,183,3.548221,0.567482,0.986160,True
0.00,184,14.523461,1.595538,0.000000,True
0.00,185,6.189746,1.567909,0.000000,True
0.00,186,3.041865,0.422470,1.084620,True
0.00,187,6.081467,0.633293,0.934825,True
0.00,188,7.209401,1.541774,0.000000,True
0.00,189,7.574100,1.549809,0.000000,True
0.00,190,1.546028,0.293741,1.087826,True
0.00,191,14.999995,1.386097,0.212132,True
0.00,192,3.530005,0.542376,0.925450,True
0.00,193,7.501010,1.558193,0.000000,True
0.00,194,6.911105,1.369592,0.000000,True
0.00,195,1.094955,0.264266,1.122565,True
0.00,196,3.022301,0.573414,0.846461,True
0.00,197,6.280909,1.646478,0.000000,True
0.00,198,0.441186,0.071422,1.418467,True
0.00,199,10.149737,1.446215,0.000000,True
0.00,200,2.562775,0.355899,0.999162,True
0.00,201,4.698193,0.767631,0.719925,True
0.00,202,8.578117,1.452021,0.000000,True
0.00,203,5.618205,1.527927,0.000000,True
0.00,204,6.352137,1.599188,0.000000,True
0.00,205,1.060435,0.341916,0.973995,True
0.00,206,5.664991,1.085887,0.536230,True
0.00,207,13.642970,1.530154,0.000000,True
0.00,208,1.355752,0.306538,1.048136,True
0.00,209,1.982351,0.324855,1.155109,True
0.00,210,4.845639,1.426930,0.000000,True
0.00,211,7.376370,1.444714,0.000000,True
0.00,212,5.836476,1.473420,0.000000,True
0.00,213,6.802048,1.223670,0.340502,True
0.00,214,7.197543,1.524310,0.000000,True
0.00,215,4.681365,1.556784,0.000000,True
0.00,216,7.418974,1.483809,0.000000,True
0.00,217,2.873308,0.757523,0.635629,True
0.00,218,2.340802,0.412794,1.020179,True
0.00,219,11.368387,1.586829,0.000000,True
0.00,220,8.770576,1.425937,0.000000,True
0.00,221,3.212163,1.032737,0.559659,True
0.00,222,10.696769,1.524608,0.000000,True
0.00,223,1.737587,0.589568,1.012225,True
0.00,224,9.591337,1.495034,0.000000,True
0.00,225,2.429417,0.663555,0.904979,True
0.00,226,5.622382,1.468639,0.000000,True
0.00,227,1.930623,0.329909,1.096323,True
0.00,228,7.486081,1.506484,0.000000,True
0.00,229,7.948852,1.577817,0.000000,True
0.00,230,1.109447,0.121458,1.224767,True
0.00,231,2.167085,0.454957,1.164034,True
0.00,232,0.856149,0.340924,1.056855,True
0.00,233,9.496952,1.414057,0.000000,True
0.00,234,0.620960,0.062899,1.393413,True
0.00,235,10.340198,1.717495,0.000000,True
0.00,236,6.282837,1.472492,0.000000,True
0.00,237,1.925026,0.596204,0.818615,True
0.00,238,9.550488,1.455089,0.000000,True
0.00,239,6.982886,0.736847,0.689532,True
0.00,240,1.476930,0.259715,1.203334,True
0.00,241,8.670193,1.390634,0.000000,True
0.00,242,1.784388,0.299137,1.196228,True
0.00,243,6.817774,1.513184,0.000000,True
0.00,244,1.950069,0.359042,0.955293,True
0.00,245,1.301908,0.189129,1.339540,True
0.00,246,13.105093,1.634199,0.000000,True
0.00,247,7.746179,1.590489,0.000000,True
0.00,248,4.243206,1.609724,0.000000,True
0.00,249,1.383935,0.404663,1.101939,True
0.00,250,1.996526,0.275571,1.122941,True
0.00,251,6.278280,1.546300,0.000000,True
0.00,252,1.650858,0.325407,1.108228,True
0.00,253,2.336081,0.446945,0.967317,True
0.00,254,1.061923,0.315360,1.174267,True
0.00,255,3.665985,0.856474,0.739122,True
0.00,256,5.717988,1.450478,0.000000,True
0.00,257,1.944725,0.536644,0.906525,True
0.00,258,1.202012,0.244259,1.177000,True
0.00,259,14.999995,1.391825,0.187091,True
0.00,260,1.713067,0.326144,1.068601,True
0.00,261,6.660289,1.547905,0.000000,True
0.00,262,10.928588,1.590376,0.000000,True
0.00,263,4.245208,0.505875,1.079404,True
0.00,264,5.435342,1.357256,0.000000,True
0.00,265,14.999995,1.247535,0.145132,True
0.00,266,6.338811,1.538770,0.000000,True
0.00,267,6.929530,1.600061,0.000000,True
0.00,268,8.298889,1.539895,0.000000,True
0.00,269,1.234411,0.180399,1.240085,True
0.00,270,0.936185,0.267727,1.115352,True
0.00,271,9.215118,1.542474,0.000000,True
0.00,272,9.802871,1.495081,0.000000,True
0.00,273,6.986118,1.463008,0.000000,True
0.00,274,7.877274,1.498965,0.000000,True
0.00,275,9.787072,1.490793,0.000000,True
0.00,276,3.357651,1.589090,0.000000,True
0.00,277,3.174356,0.862878,0.591495,True
0.00,278,7.987589,1.512142,0.000000,True
0.00,279,12.761476,1.570803,0.000000,True
0.00,280,7.759264,1.551750,0.000000,True
0.00,281,5.627240,1.502880,0.000000,True
0.00,282,7.247130,0.870501,0.480921,True
0.00,283,6.957570,1.524908,0.000000,True
0.00,284,6.936827,1.411468,0.000000,True
0.00,285,14.999995,1.426465,0.091069,True
0.00,286,6.332787,1.475622,0.000000,True
0.00,287,8.679957,1.540304,0.000000,True
0.00,288,0.969479,0.152926,1.352425,True
0.00,289,9.033438,1.578502,0.000000,True
0.00,290,5.969198,1.499858,0.000000,True
0.00,291,2.523941,0.753290,0.756525,True
0.00,292,3.975741,1.431014,0.000000,True
0.00,293,0.932144,0.177927,1.204046,True
0.00,294,7.419555,1.349373,0.000000,True
0.00,295,2.041778,0.473031,1.078561,True
0.00,296,3.575742,0.625660,0.797264,True
0.00,297,6.161544,1.382388,0.000000,True
0.00,298,8.154903,1.431989,0.000000,True
0.00,299,2.153448,0.479454,1.059140,True
0.00,300,6.783743,1.558478,0.000000,True
0.00,301,1.853010,0.414771,0.986103,True
0.00,302,9.473333,1.620541,0.000000,True
0.00,303,6.647863,1.557156,0.000000,True
0.00,304,5.659272,1.609863,0.000000,True
0.00,305,10.522138,1.630147,0.000000,True
0.00,306,6.140192,1.573527,0.000000,True
0.00,307,5.803181,1.455701,0.000000,True
0.00,308,6.442055,1.539066,0.000000,True
0.00,309,9.213240,1.527210,0.000000,True
0.00,310,1.377583,0.361237,1.012443,True
0.00,311,1.306215,0.341789,1.222772,True
0.00,312,4.523917,1.478992,0.000000,True
0.00,313,1.126797,0.205872,1.248830,True
0.00,314,3.421250,0.598410,1.050582,True
0.00,315,8.360444,1.398772,0.000000,True
0.00,316,1.191623,0.293319,1.061632,True
0.00,317,3.019363,0.414438,1.085858,True
0.00,318,5.164988,0.851244,0.638096,True
0.00,319,8.574103,1.489391,0.000000,True
0.00,320,2.241396,0.501835,1.083840,True
0.00,321,4.431454,1.460249,0.000000,True
0.00,322,4.285060,1.483404,0.000000,True
0.00,323,8.261647,1.411554,0.000000,True
0.00,324,10.486077,1.436111,0.000000,True
0.00,325,7.188779,1.428253,0.000000,True
0.00,326,8.130244,1.493174,0.000000,True
0.00,327,9.247474,1.502845,0.000000,True
0.00,328,1.638967,0.548994,0.918115,True
0.00,329,5.425337,0.936929,0.563027,True
0.00,330,2.877373,0.425032,1.105224,True
0.00,331,2.594427,0.554967,0.955357,True
0.00,332,2.284900,0.585943,0.932204,True
0.00,333,3.534999,0.387115,0.940302,True
0.00,334,3.239130,0.782318,0.634218,True
0.00,335,9.932338,1.485049,0.000000,True
0.00,336,5.080162,0.565482,0.863962,True
0.00,337,8.609433,1.545059,0.000000,True
0.00,338,9.867100,1.544118,0.000000,True
0.00,339,7.936843,1.484668,0.000000,True
0.00,340,2.281234,0.621564,0.869939,True
0.00,341,4.059843,1.626318,0.000000,True
0.00,342,4.889150,0.742425,0.770686,True
0.00,343,3.750884,0.531090,0.866804,True
0.00,344,3.126874,0.840452,0.386074,True
0.00,345,2.681583,0.644771,0.901616,True
0.00,346,1.683119,0.309742,1.116685,True
0.00,347,10.101580,1.406284,0.000000,True
0.00,348,4.025746,0.854580,0.524175,True
0.00,349,8.729665,1.501154,0.000000,True
0.00,350,1.256395,0.291431,1.267529,True
0.00,351,10.312249,1.339320,0.000000,True
0.00,352,2.005337,0.332616,1.148019,True
0.00,353,1.522449,0.347002,1.028770,True
0.00,354,7.114136,1.569149,0.000000,True
0.00,355,1.835561,0.336913,1.053266,True
0.00,356,2.343793,0.467982,0.896652,True
0.00,357,1.191856,0.391884,1.055349,True
0.00,358,7.452311,1.536435,0.000000,True
