delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,2.815045,1.569313,0.566862,True
0.00,1,1.579542,0.704306,1.214169,True
0.00,2,1.517050,0.736987,1.105549,True
0.00,3,1.807718,0.878060,1.070499,True
0.00,4,6.494851,1.847418,0.000000,True
0.00,5,3.662460,1.305065,0.674567,True
0.00,6,1.977391,0.768191,1.067682,True
0.00,7,1.865160,1.236202,0.954195,True
0.00,8,2.001492,1.101507,1.025867,True
0.00,9,5.447995,2.096227,0.000000,True
0.00,10,1.399200,0.775120,1.115321,True
0.00,11,2.230373,0.887105,0.846155,True
0.00,12,4.073089,1.979631,0.223827,True
0.00,13,1.928995,1.157996,0.893944,True
0.00,14,3.560310,1.353361,0.629177,True
0.00,15,2.473384,1.203314,0.770971,True
0.00,16,4.088808,1.277580,0.488580,True
0.00,17,2.094296,0.867541,1.110670,True
0.00,18,4.619622,2.041771,0.000000,True
0.00,19,1.390790,0.594194,1.292433,True
0.00,20,1.813164,0.981802,1.073091,True
0.00,21,1.217216,0.718224,1.234704,True
0.00,22,2.119515,0.930275,0.971565,True
0.00,23,1.439646,0.796980,1.149224,True
0.00,24,1.807315,0.921654,1.118570,True
0.00,25,1.119459,0.579129,1.109856,True
0.00,26,1.548037,0.775488,1.229320,True
0.00,27,2.119487,1.013735,0.852303,True
0.00,28,2.073485,0.866005,1.064081,True
0.00,29,1.874065,1.005603,1.080900,True
0.00,30,3.708252,1.489937,0.536026,True
0.00,31,1.303963,0.757972,1.372196,True
0.00,32,7.241927,2.105454,0.000000,True
0.00,33,1.552808,1.076456,1.013295,True
0.00,34,1.170111,0.415078,1.476828,True
0.00,35,1.345773,0.625894,1.228459,True
0.00,36,0.879022,0.558718,1.242627,True
0.00,37,2.276755,1.152311,0.846582,True
0.00,38,3.389264,1.430019,0.553907,True
0.00,39,1.962568,1.116338,0.923330,True
0.00,40,1.656651,0.773135,1.020263,True
0.00,41,1.832915,0.864313,1.014507,True
0.00,42,1.762847,0.940524,1.064432,True
0.00,43,1.368619,0.763206,1.073620,True
0.00,44,3.677296,1.522561,0.524387,True
0.00,45,2.042130,0.744670,0.949151,True
0.00,46,1.825065,1.101366,1.067513,True
0.00,47,1.056335,0.737698,1.219650,True
0.00,48,2.868930,1.231187,0.794716,True
0.00,49,5.095457,2.072183,0.000000,True
0.00,50,1.673927,1.020169,0.990527,True
0.00,51,3.205156,1.358794,0.673888,True
0.00,52,3.023357,1.111975,0.909758,True
0.00,53,4.320574,1.594720,0.353814,True
0.00,54,2.234804,1.119844,0.936267,True
0.00,55,1.391877,0.840676,1.124376,True
0.00,56,1.691073,0.965369,0.940072,True
0.00,57,5.282791,1.780244,0.214287,True
0.00,58,1.869453,0.696015,1.325345,True
0.00,59,1.993888,1.113784,0.968332,True
0.00,60,1.863684,1.251219,0.950585,True
0.00,61,1.396955,0.856739,1.176869,True
0.00,62,1.758519,0.945461,1.194393,True
0.00,63,1.914513,1.132510,0.914232,True
0.00,64,1.829465,0.940918,1.017194,True
0.00,65,2.153849,0.638439,1.206986,True
0.00,66,1.585123,0.898968,1.054403,True
0.00,67,1.463916,0.992360,1.066535,True
0.00,68,2.278883,0.930855,0.933747,True
0.00,69,1.266330,0.681024,1.148174,True
0.00,70,2.782048,1.121627,1.042489,True
0.00,71,2.759080,1.356556,0.773416,True
0.00,72,1.925898,0.845583,1.086376,True
0.00,73,1.618630,0.834965,0.991492,True
0.00,74,3.320512,1.652982,0.431344,True
