delta,rep,beta_hat,eta_hat,gamma_hat,status
0.00,0,3.490852,0.768617,0.156042,True
0.00,1,3.309213,0.775468,0.281633,True
0.00,2,7.804541,0.985066,0.000000,True
0.00,3,1.044464,0.266876,0.638471,True
0.00,4,1.807744,0.586335,0.519634,True
0.00,5,1.113791,0.474203,0.580259,True
0.00,6,4.186357,0.901596,0.207644,True
0.00,7,0.736655,0.306637,0.706435,True
0.00,8,1.563612,0.317370,0.563739,True
0.00,9,4.117222,1.032148,0.000000,True
0.00,10,3.143552,1.060308,0.000000,True
0.00,11,5.695171,1.080391,0.000000,True
0.00,12,0.784414,0.313526,0.836322,True
0.00,13,1.968578,0.462988,0.464174,True
0.00,14,5.755031,1.259107,0.000000,True
0.00,15,5.118661,1.153927,0.000000,True
0.00,16,3.345167,1.150222,0.000000,True
0.00,17,3.993311,1.175130,0.074790,True
0.00,18,2.779973,0.274340,0.765190,True
0.00,19,4.530648,1.010329,0.000000,True
0.00,20,1.774827,0.483046,0.578146,True
0.00,21,1.284176,0.276442,0.879890,True
0.00,22,6.553787,1.192164,0.000000,True
0.00,23,3.691593,0.540373,0.437945,True
0.00,24,4.502418,1.090508,0.000000,True
0.00,25,1.293970,0.383437,0.666575,True
0.00,26,4.507339,0.365254,0.757497,True
0.00,27,2.464979,0.696825,0.401020,True
0.00,28,2.763029,1.081807,0.000000,True
0.00,29,2.626072,0.737368,0.232762,True
0.00,30,0.780262,0.270525,0.767412,True
0.00,31,2.039620,0.561693,0.483942,True
0.00,32,2.352196,0.276641,0.827552,True
0.00,33,1.294624,0.352374,0.733995,True
0.00,34,2.495274,1.027867,0.000000,True
0.00,35,1.108945,0.364660,0.564637,True
0.00,36,5.198516,1.115855,0.000000,True
0.00,37,3.865832,1.015580,0.000000,True
0.00,38,3.663381,1.116420,0.000000,True
0.00,39,1.087507,0.198085,0.825446,True
0.00,40,5.398732,1.210750,0.000000,True
0.00,41,3.170871,1.035680,0.000000,True
0.00,42,6.869358,0.962422,0.000000,True
0.00,43,1.254823,0.387074,0.596712,True
0.00,44,3.315823,1.261087,0.000000,True
0.00,45,4.350932,1.151062,0.000000,True
0.00,46,3.424809,1.103363,0.000000,True
0.00,47,3.719717,0.967648,0.000000,True
0.00,48,3.166077,0.308111,0.640223,True
0.00,49,2.820839,1.160007,0.000000,True
0.00,50,3.484364,1.054729,0.000000,True
0.00,51,4.966811,0.976055,0.000000,True
0.00,52,7.159599,1.247863,0.000000,True
0.00,53,5.676158,1.191276,0.000000,True
0.00,54,1.569569,0.192987,0.858769,True
0.00,55,4.240189,1.011484,0.000000,True
0.00,56,3.703029,1.156858,0.000000,True
0.00,57,4.278922,1.282143,0.000000,True
0.00,58,3.896655,0.992618,0.000000,True
0.00,59,0.731000,0.268551,0.677441,True
0.00,60,1.817112,0.506063,0.663805,True
0.00,61,4.013665,0.360431,0.749246,True
0.00,62,5.112857,1.217282,0.000000,True
0.00,63,3.395322,0.914522,0.000000,True
0.00,64,2.646426,1.078815,0.000000,True
0.00,65,6.271180,1.207412,0.000000,True
0.00,66,4.320029,1.194735,0.000000,True
0.00,67,5.637154,1.037162,0.000000,True
0.00,68,6.061575,1.185589,0.000000,True
0.00,69,3.605147,1.102027,0.000000,True
0.00,70,3.414889,0.680942,0.378292,True
0.00,71,3.863067,1.108112,0.000000,True
0.00,72,3.982837,1.303485,0.000000,True
0.00,73,1.535453,0.403597,0.660618,True
0.00,74,4.164939,1.206485,0.000000,True
0.00,75,1.202807,0.250117,0.778811,True
0.00,76,8.001213,1.183459,0.000000,True
0.00,77,2.566272,1.095135,0.000000,True
0.00,78,4.007534,0.967595,0.119220,True
0.00,79,3.619183,1.262999,0.000000,True
0.00,80,3.570491,0.989278,0.000000,True
0.00,81,4.188508,0.532031,0.324256,True
0.00,82,1.163554,0.344156,0.839140,True
0.00,83,7.620989,1.064719,0.000000,True
0.00,84,5.162490,0.946073,0.000000,True
