scope,relative_path,bytes,sha256,tracked,action,reason
worktree,artifacts/b2inc/inc_1_I_by_n.png,62282,61736011ac5a428e6eb890914dc8afa585a5bdb6d4a4e0c9604aeffcc81c90d5,True,delete,retired_experiment
worktree,artifacts/b2inc/inc_2_I_by_beta.png,81153,92f28252d2a695b535c06aa01ccf926144e21c4a471bd0520020730fb0cc418f,True,delete,retired_experiment
worktree,artifacts/b2inc/inc_3_region_mixing_n10.png,31583,b576d60dacd14dc792fd7c341059305d73022bd69a8ca0db0e2ac8865a4a7d9f,True,delete,retired_experiment
worktree,artifacts/b2inc/inc_3_region_mixing_n7.png,31109,c95c5cc6482e3bdf5c3de60374f96b0e2d4a8839f9aa307522270f3f5e617e92,True,delete,retired_experiment
worktree,artifacts/b2inc/SHA256SUMS,356,595b5a437ae5cc664da70db17493dbdb119b7118457b7582b70d1a23d9388ec2,True,delete,retired_experiment
worktree,artifacts/b6/core_effect_by_n.png,47887,291d2ed9a13dd167185d79e98b4399734175e7ee131ebc4f03d4907937b45b69,True,delete,retired_experiment
worktree,artifacts/b6/core_error_vs_n.png,47861,d84ab021bed5ab2ce84d6b6eaaf90a422eb966ea53f976965443455c18d126db,True,delete,retired_experiment
worktree,artifacts/b6/SHA256SUMS,666,f82368521a4e1e18fe92e7a984e652debacf73b7676c2dd166941deda0ec97c0,True,delete,retired_experiment
worktree,artifacts/b6/stress_tradeoff.png,53520,19f35f5d07f9b92ff14f56d647dab0dd419732cfc92cfc8e9dfeb0893215a4e3,True,delete,retired_experiment
worktree,artifacts/c/C2-mechanism-20260801-152548/c2_1_per_n_rmse.png,30534,fe90b606616751c17c353ddaf3383bef0148326fb036e6f8996c784d9f56f0c4,True,delete,retired_experiment
worktree,artifacts/c/C2-mechanism-20260801-152548/c2_2_param_propagation.png,35319,0f8ac385ce7b042860b80f38112ddf5ea8d9729621fc80205c79c796b2bbcf53,True,delete,retired_experiment
worktree,artifacts/c/C2-mechanism-20260801-152548/manifest.json,1926,57285b7a8dec38e6fb1d5a55e3f67f1926c985335df89e2ee61b0508c8ad965f,True,delete,retired_experiment
worktree,artifacts/c/C2-mechanism-20260801-152548/summary.json,19162,c7f98c79c2d10b58277037f053e9487f0b0c228ec44a7bbe6342dbe2b1b1289d,True,delete,retired_experiment
worktree,artifacts/c/C3C4-alternatives-20260801-154212/c3_1_availability_vs_error.png,91617,6f5a182211e7d1151587a60200d4e16b0a43a0a0ea7be2fd93b71e097a5f6619,True,delete,retired_experiment
worktree,artifacts/c/C3C4-alternatives-20260801-154212/manifest.json,1899,09b838edb5d8824f852bf2f574a117609611738ea689f31916d79dfb24642de5,True,delete,retired_experiment
worktree,artifacts/c/C3C4-alternatives-20260801-154212/summary.json,29387,ecb3ae5c087742fbf63a89a1171c5e5fe6abf8104232dea59710705fb3eb1cb6,True,delete,retired_experiment
worktree,artifacts/lean/E1-training-sensitivity/confirmation_source.csv.gz,494984,f118d64b97979583fa629776750be58d87c913c81948979a7e9183b97bdf853d,True,delete,retired_experiment
worktree,artifacts/lean/E1-training-sensitivity/confirmation_summary.json,16460,4c20c1aa487b7667b29312ef39faf7523fae6d18160debcaad53d1254dd6aa7e,True,delete,retired_experiment
worktree,artifacts/lean/E2-comparison-generalization/confirmation_source.csv.gz,10116654,1f65cd383f6ed8e81af5fb4e55f8b9d77e74273b49599f04158de6cba33bba7b,True,delete,retired_experiment
worktree,artifacts/lean/E2-comparison-generalization/confirmation_summary.json,99706,fcc785196330944c4d7055cb08b68bbce12d3dfd3af86030e8c5085ef8385a94,True,delete,retired_experiment
worktree,artifacts/lean/E3-equivariance-robustness/confirmation_source.csv.gz,1939739,d3073029e6a85121dcf0e696250859103663e228fa6fb04073b936484bca26c3,True,delete,retired_experiment
worktree,artifacts/lean/E3-equivariance-robustness/confirmation_summary.json,16520,3463ab8da131798d0326bf45e0efdf7d396449d5ca87d13f0cfae2c0217d9723,True,delete,retired_experiment
worktree,artifacts/lean/E4-trust-realdata/confirmation_summary.json,27567,d02f4ba9fee9d05f8f68be03ed01ee2ffc3b23ed702fe8bf5d76aa9510d40f23,True,delete,retired_experiment
worktree,artifacts/lean/E4-trust-realdata/conformal_results.csv.gz,1328478,1113b3f56194322ce7e0cd65a6de2008aba02160ea84a083095c170594071f87,True,delete,retired_experiment
worktree,artifacts/lean/E4-trust-realdata/real_results.csv.gz,553848,eb4f565aca4834274302068d54114029a8242730bdc62ac8cc85226052e56bb4,True,delete,retired_experiment
worktree,artifacts/lean/SHA256SUMS,1038,698336814636dbbed692f9ea372632f8940b5b8a2bf37141779788548d732b04,True,delete,retired_experiment
worktree,artifacts/manuscript_figures_v260/cell_effect_checks.csv,224,5cf9036167bd5a1123f87570cccb73990b06433d8f16f6eed424dfc103cddf07,True,retain,
worktree,artifacts/manuscript_figures_v260/compensation_model_cells.csv,54025,290703bf552e87c56aa269efba18c0b43c6d2a25e3a11418b3f0180982f1b21e,True,retain,
worktree,artifacts/manuscript_figures_v260/contribution_quantiles.csv,1382,db57253bfeaa2cb33965e578d22f713f956dcadfa1139f4ccb369065b987d9b6,True,retain,
worktree,artifacts/manuscript_figures_v260/manifest.json,106979,e77f58dbc89e1ddd98bc5e314e37c6e3f2a1a5bf33720eef52f5d803b12a9dae,True,retain,
worktree,artifacts/manuscript_figures_v270/cell_effect_checks.csv,224,5cf9036167bd5a1123f87570cccb73990b06433d8f16f6eed424dfc103cddf07,True,retain,
worktree,artifacts/manuscript_figures_v270/compensation_model_cells.csv,54025,290703bf552e87c56aa269efba18c0b43c6d2a25e3a11418b3f0180982f1b21e,True,retain,
worktree,artifacts/manuscript_figures_v270/contribution_quantiles.csv,1382,db57253bfeaa2cb33965e578d22f713f956dcadfa1139f4ccb369065b987d9b6,True,retain,
worktree,artifacts/manuscript_figures_v270/manifest.json,200144,dcd2f073d03475b0f881d14264558c405610a91877170b921187fb5b7356b5d3,True,retain,
worktree,artifacts/manuscript_figures_v270/top5_cells.csv,656,709d0b1630a3b42ff461946de72b5828047a5b45d79b83ed8d7ef8e82f439726,True,retain,
worktree,artifacts/manuscript_figures_v270/validation_feasibility.csv,9361,67646e24ef0276371b6c1c5325b5845f1c9d46514111a0fff26e19a06fd027e2,True,retain,
worktree,artifacts/manuscript_review_v250/baseline_quartiles.csv,154,8eb1d84c5096c3a2467a2519c27c0b82bb710072ed0e8e3f2db9e10ce5c3be24,True,retain,
worktree,artifacts/manuscript_review_v250/parameter_distributions.csv,968,c9851f1f3c72b13bf0c3ed6a4a515209a3da8e2009be8573d403d79421da6a63,True,retain,
worktree,artifacts/manuscript_review_v250/summary.json,143297,7b17b28a93e1bfcc66d52a29825f9a13c405677e2c9925386c0cea1196f6bec3,True,retain,
worktree,artifacts/manuscript_review_v250/tail_and_boundary.csv,330,aa87ff7dc8e7c887cb99491a8a5dba0a18d5255b685b1669676681a91af52812,True,retain,
worktree,artifacts/manuscript_review_v250/target_cell_contributions.csv,22213,fa55c4405666a24740d7e130fb654f84c08bfefed2a844da58ade9837779a630,True,retain,
worktree,artifacts/manuscript_review_v270/integrity.json,495,38bdd21be9df3758a499d6247808a78cf0c25881e0a06ff62a39e2937cccaf11,True,retain,
worktree,artifacts/manuscript_review_v270/prose-tightening.json,1306,69484204949f3b5065e01c6aa22afeb258462a053c8ce46e05bdc923cf914d2b,True,retain,
worktree,artifacts/manuscript_review_v270/reading-main-table.png,16394,d99009b0f8b44c5b8dd2ca6a4c78e979df939d6b6e2363eb2a324ed6df6260df,True,retain,
worktree,artifacts/manuscript_review_v270/reading-main-top.png,172177,4d71855f6d75d2a978844a72843eeb4dd396c53bb6a82f039c054cf11eb44ecc,True,retain,
worktree,artifacts/manuscript_review_v270/reading-qa.json,2782,1ce9aad7035e80c2b6d131f43a698db4f97307739a3a68533b80d523acf106f4,True,retain,
